id,model_number,type,description,aesthetic,dimensions,finish,supplied_accessories,optional_accessories,safety,power,warranty,status,created_at,updated_at,slug,notes,ean,cover_image,price,cavity,capacity,cleaning,lighting,auto_menus,door_glass,thermostat,installation,function_list,quote_display,cooking_levels,device_display,interior_finish,programmability,total_functions,features
521,SFPA6925B,Oven,60cm Victoria Thermoseal Pyrolytic oven,victoria,597mmW x 592mmH x 548mmD,White enamel,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides
1 x Removable roof liner","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 Soft Close door
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6925b,"","","",0.0,"",79L,"Smeg Ever Clean enamel, Pyrolytic / ECO Pyrolytic",2 x 40W halogen,"",Quadruple glazed,30 - 280ºC,"Flush, underbench or wallmount","base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,Large LCD,"",Fully programmable,16,"ever clean enamel
soft close door
smartsense - 20 auto menus
thermoseal technology
pyrolytic cleaning"
524,SFPA6925N2,Oven,60cm Victoria Thermoseal Pyrolytic oven,victoria,597mmW x 592mmH x 548mmD,Black enamel,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 Soft Close door
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6925n2,"","","",0.0,"",79L,"Smeg Ever Clean enamel, Pyrolytic / ECO Pyrolytic",2 x 40W halogen,"",Quadruple glazed,30 - 280ºC,"Flush, underbench or wallmount","base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,Large LCD,"",Fully programmable,16,"ever clean enamel
soft close door
smartsense - 20 auto menus
thermoseal technology
pyrolytic cleaning"
525,SFPA6925P,Oven,60cm Victoria Thermoseal Pyrolytic oven,victoria,597mmW x 592mmH x 548mmD,Panna (cream) enamel,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides
1 x Removable roof liner","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 Soft Close door
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6925p,"","","",0.0,"",79L,"Smeg Ever Clean enamel, Pyrolytic / ECO Pyrolytic",2 x 40W halogen,"",Quadruple glazed,30 - 280ºC,"Flush, underbench or wallmount","base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,Large LCD,"",Fully programmable,16,"ever clean enamel
soft close door
smartsense - 20 auto menus
thermoseal technology
pyrolytic cleaning"
526,SFPA6925X,Oven,60cm Victoria Thermoseal Pyrolytic oven,victoria,597mmW x 592mmH x 548mmD,Stainless steel,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x 40mm enamelled baking tray
1 x Total telescopic guides
1 x Removable roof liner","PRTX - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 Soft Close door
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3000W,15A current",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa6925x,"","","",0.0,"",79L,"Smeg Ever Clean enamel, Pyrolytic / ECO Pyrolytic",2 x 40W halogen,"",Quadruple glazed,30 - 280ºC,"Flush, underbench or wallmount","base_heat
bakers_function
fan_assisted
convection
fan_forced
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,Large LCD,"",Fully programmable,16,"ever clean enamel
soft close door
smartsense - 20 auto menus
thermoseal technology
pyrolytic cleaning"
527,SFPA7130,Oven,70cm Linear Thermoseal Pyrolytic oven,linear,698mmW x 597mmH x 566mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x Partial telescopic guides
2 x Total telescopic guides","PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish","Cool Door technology
 thermal protection system
 child safety
lock
 controls lock","220-240V, 50/60Hz,3100W,16A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa7130,"","","",0.0,"",90L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"","",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
fan_forced_+_grill
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",3,TFT,"",Fully programmable,"17 + 50 SmartSense Plus auto menus
incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
528,SFPA7130B,Oven,70cm White Linear Thermoseal Pyrolytic oven,linear,698mmW x 597mmH x 566mmD,Fingerprint proof stainless steel White Stopsol® reflective glass,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x Partial telescopic guides
2 x Total telescopic guides","PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish","Cool Door technology
 thermal protection system
 child safety
lock
 controls lock","220-240V, 50/60Hz,3100W,16A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa7130b,"","","",0.0,"",90L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"","",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
fan_forced_+_grill
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",3,TFT,"",Fully programmable,"17 + 50 SmartSense Plus auto menus
incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
529,SFPA7130N,Oven,70cm Black Linear Thermoseal Pyrolytic oven,linear,698mmW x 597mmH x 566mmD,Fingerprint proof stainless steel Black Stopsol® reflective glass,"1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x Partial telescopic guides
2 x Total telescopic guides","PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish","Cool Door technology
 thermal protection system
 child safety
lock
 controls lock","220-240V, 50/60Hz,3100W,16A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa7130n,"","","",0.0,"",90L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"","",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
fan_forced_+_grill
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",3,TFT,"",Fully programmable,"17 + 50 SmartSense Plus auto menus
incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
530,SFPA7395X,Oven,70cm Classic Thermoseal Pyrolytic oven,classic,698mmW x 597mmH x 566mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x Partial telescopic guides
2 x Total telescopic guides","PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3100W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa7395x,"","","",0.0,"",90L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,50 SmartSense Plus menus,"",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
fan_forced_and_grill
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",3,TFT,Ever Clean enamel,Fully programmable,"17 + 50 SmartSense Plus auto menus
incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
531,SFPA7395X2,Oven,70cm Classic Thermoseal Pyrolytic oven,classic,698mmW x 597mmH x 566mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x Partial telescopic guides
2 x Total telescopic guides","PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3100W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa7395x2,"","","",0.0,"",90L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,50 SmartSense Plus menus,"",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
fan_forced_and_grill
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",3,TFT,Ever Clean enamel,Fully programmable,"17 + 50 SmartSense Plus auto menus
incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
532,SFPA9395X,Oven,90cm Classic Thermoseal Pyrolytic oven,classic,896mmW x 588mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x Partial telescopic guides
2 x Total telescopic guides","PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3100W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa9395x,"","","",0.0,"",90L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,50 SmartSense Plus menus,"",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
fan_forced_and_grill
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",3,TFT,Ever Clean enamel,Fully programmable,"17 + 50 SmartSense Plus auto menus incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
533,SFPA9395X1,Oven,90cm Classic Thermoseal Pyrolytic oven,classic,896mmW x 595mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
2 x Chrome shelves
1 x 20mm enamelled baking tray
1 x Partial telescopic guides
2 x Total telescopic guides","PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3100W,15A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpa9395x1,"","","",0.0,"",115L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,50 SmartSense Plus menus,"",30 - 280ºC,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
fan_forced_+_grill
base_heat
bakers_function
defrost_by_time
defrost_by_weight
proving
sabbath_mode
pyrolytic
eco_pyrolytic
keep_warm","",3,TFT,Ever Clean enamel,Fully programmable,"17 + 50 SmartSense Plus auto menus incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
534,SFPR9395X,Oven,90cm Classic Thermoseal Pyrolytic oven,classic,896mmW x 481mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
1 x Chrome shelves
2 x 40mm enamelled baking tray
1 x Total telescopic guides","PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,4000W,18A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfpr9395x,"","","",0.0,"",100L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,50 SmartSense Plus menus,"",30 - 280ºC,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
base_heat
bakers_function
defrost_by_time
defrost_by_weight
proving
sabbath_mode
pyrolytic
eco_pyrolytic","",4,TFT,Ever Clean enamel,Fully programmable,"15 + 50 SmartSense Plus auto menus incl. Sabbath mode
 defrost and proving","ever clean enamel
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
535,SFPR9604NR,Oven,90cm Dolce Stil Novo Thermoseal Oven,dolce stil novo,896mmW x 571mmD x 475mmH,Black eclipse glass with stainless steel trim,"1 x Chrome grill insert
1 x Chrome shelves
1 x 40mm enamelled baking tray
1 x Full telescopic guides","PPR9 - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3300W,15A Connection",Five years parts and labour,Active,02/10/2018,02/10/2018,sfpr9604nr,"","","",0.0,Ever Clean Enamel,100L,Vapour Clean,2 x 40W halogen,50 SmartSense Plus menus,"",30-280°C,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
fan_forced_and_grill
base_heat
bakers_function
defrost_by_time
defrost_by_weight
keep_warm
proofing
sabbath_mode
pyrolytic_cleaning
eco_pyro","",5,Colour Touch TFT,"",Fully programmable,"17 + 50 SmartSense Plus auto menus incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
pyrolytic cleaning
thermoseal
smartsense plus"
536,SFPR9604NX,Oven,90cm Dolce Stil Novo Thermoseal Oven,dolce stil novo,896mmW x 571mmD x 475mmH,Black eclipse glass with copper trim,"1 x Chrome grill insert
1 x Chrome shelves
1 x 40mm enamelled baking tray
1 x Full telescopic guides","PPR9 - Pizza Stone
PPR2 - Gourmet Cooking Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish
GT1P-2 - Partial telescopic guides
GT1T-2 - Total telescopic guides","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,3300W,15A Connection",Five years parts and labour,Active,02/10/2018,02/10/2018,sfpr9604nx,"","","",0.0,Ever Clean Enamel,100L,Vapour Clean,2 x 40W halogen,50 SmartSense Plus menus,"",30-280°C,Built-in,"convection
fan_assisted
fan_forced
supercook
eco
grill
fan_grill
fan_forced_and_grill
base_heat
bakers_function
defrost_by_time
defrost_by_weight
keep_warm
proofing
sabbath_mode
pyrolytic_cleaning
eco_pyro","",5,Colour Touch TFT,"",Fully programmable,"17 + 50 SmartSense Plus auto menus incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
soft close door
pyrolytic cleaning
thermoseal
smartsense plus"
537,SFP9395X1,Oven,90cm Classic Thermoseal Pyrolytic oven,classic,896mmW x 588mmH x 571mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome grill insert
1 x Chrome shelves
2 x 20mm enamelled baking tray
1 x Total telescopic guides","PPR9 - Gourmet Cooking Stone
PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish","Cool Door technology
 thermal protection system
 child safety lock
 controls lock","220-240V, 50/60Hz,4000W,18A Connection",Two years parts and labour,Active,02/10/2018,02/10/2018,sfp9395x1,"","","",0.0,"",126L,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,50 SmartSense Plus menus,"",30 - 280ºC,Built-in,"base_heat
bakers_function
fan_assisted
convection
fan_forced
fan_forced_and_grill
supercook
eco
fan_grill
grill
pyrolytic
eco_pyrolytic
defrost_by_time
defrost_by_weight
proving
sabbath_mode
keep_warm","",5,TFT,Ever Clean enamel,Fully programmable,"17 + 50 SmartSense Plus auto menus incl. Sabbath mode
 defrost
 proving and keep warm","ever clean enamel
smartsense plus - 50 auto menus + 10 personal menus
thermoseal technology
pyrolytic cleaning"
538,SFRA9300X,Oven,90cm Classic Thermoseal oven,,896mmW x 481mmH x 572mmD,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","1 x Chrome shelves
1 x Chrome grill insert
1 x 40mm enamelled baking tray","PPR9 - Pizza Stone
PALPZ - Single-handle pizza paddle","Cool Door technology
 thermal protection system","220-240V, 50/60Hz,3100W,15A Connection",Two years parts and labour,"",02/10/2018,02/10/2018,sfra9300x,"","","",0.0,"",100L,Vapour Clean,2 x 40W halogen,"","",30 - 280ºC,Built-in,"","",4,Text on panel,"",Fully programmable,8 functions,"ever clean enamel
thermoseal technology
vapour clean
cool door technology"
539,SOA330X1,Oven,76cm Classic pyrolytic oven,classic,754mmW x 632mmD x 705mmH,"Fingerprint proof stainless steel 
Eclipse high visibility black glass","4 x chromed-wire shelves 
1 x enamel grill tray with insert
1 x meat probe
1 x Total telescopic guides","PRTX - Pizza Stone
PALPZ - Single-handle pizza paddle
38508/510 - Baking Dish","thermal protection system
child safety lock","220-240V, 50/60Hz,3800W,15.8A current",Two years parts and labour,Active,02/10/2018,02/10/2018,soa330x1,No feature icons,"","",0.0,"",130L,Pyrolytic cleaning function,3 x 25W halogen,"","",25 - 250ºC,Built-in,"pyrolytic_cleaning
defrost_proofing_dehydrate_warming
grill
convection
fan_forced
fan_grill
fan_assisted
bakers_function","",6,LED,"",Fully programmable,"10 incl. proofing
 defrost
 dehydrate
 warming
 Sabbath mode","pyrolytic cleaning
large capacity
twin fan - even cooking
meat probe"
